Section,Table,Category,Parameter,Value,Notes
Final Verification,Metric,"Total Supply","10,000,000,000",Fixed,
Final Verification,Metric,"Total Raise","$16,000,000","Seed + Echo + Strategic + Binance + Exchange",
Final Verification,Metric,"Total Tokens Sold",825,000,000,"100M + 400M + 75M + 75M + 175M",
Final Verification,Metric,"% of Supply Sold","8.25%","825M ÷ 10B = 8.25%",
Final Verification,Metric,"Avg Token Price (Weighted)","$0.0194","$16M ÷ 825M",
Final Verification,Metric,"TGE FDV Target","$3,000,000,000","$0.30 × 10B",
Final Verification,Metric,"TGE Unlock %","3.44%","343.75M ÷ 10B",
Final Verification,Metric,"TGE Unlock Tokens",343,750,000,"Per schedule",
Final Verification,Metric,"Strategic Bucket (500M) - Used",250,000,000,"Seed 100M + Strategic 75M + Binance 75M",
Final Verification,Metric,"Strategic Bucket (500M) - Remaining",250,000,000,,
Final Verification,Metric,"Public Bucket (1,000M) - Used",575,000,000,"Echo 400M + Exchange 175M",
Final Verification,Metric,"Public Bucket (1,000M) - Remaining",425,000,000,,
Final Verification,Metric,"Airdrop Bucket (300M)",300,000,000,"Reserved within Public Sale",
